VKEY;REAL;PZN;UER;RGN;IND;TNP;NNP;ADR;RKC;NAMEP;NAMEN;NEWNUM;NEWKS;PERMFO;SROK;AT1;AT2;TELEF;REGN;OKPO;DT_IZM;CKS;KSNP;DATE_IN;DATE_CH;VKEYDEL;DT_IZMR
;;20;4;75;454138;1;ЧЕЛЯБИНСК;ул Молодогвардейцев, 17 Б;047501001;"АО ""УГЛЕМЕТБАНК""";"АО ""УГЛЕМЕТБАНК""";047501787;;;00;;;;2997;;30.06.2018;;30101810275010000787;;;;
;;30;4;10;675025;1;БЛАГОВЕЩЕНСК;ул. Краснофлотская, дом 77, по;041012001;"ФИЛИАЛ ""ДАЛЬНЕВОСТОЧНЫЙ"" АО КБ ""СОЛИДАРНОСТЬ""";"ФИЛИАЛ ""ДАЛЬНЕВОСТОЧНЫЙ"" АО КБ";041012050;;;00;;;;554/13;;07.06.2019;;30101810610120000050;;;;
;;30;4;71;628400;1;СУРГУТ;ул Губкина, 15 А;047144000;"СФ АО БАНК ""СНГБ""";"СФ АО БАНК ""СНГБ""";047144778;;;00;;;;588/10;;30.06.2018;;30101810165777100778;;;;
;;40;0;00;043197;;;П/П 43197;;ПУ БАНКА РОССИИ N 43197;ПУ БАНКА РОССИИ N 43197;040002002;;;00;;;;;;30.06.2018;;;;;;
;;20;4;92;423818;1;НАБЕРЕЖНЫЕ ЧЕЛНЫ;проспект Мира, д. 88а;049205001;"ПАО ""АКИБАНК""";"ПАО ""АКИБАНК""";049205933;;;00;;;;2587;;29.07.2019;;30101810622029205933;;;;
;;30;4;45;125009;1;МОСКВА;ул. Воздвиженка, д. 4/7, стр.;044525000;"ФИЛИАЛ ПАО РОСБАНК ""РОСБАНК ДОМ""";"ФИЛИАЛ ПАО РОСБАНК ""РОСБАНК ДО";044525354;;;00;;;;2272/94;;13.06.2019;;30101810545250000354;;;;
;;00;0;03;350000;1;КРАСНОДАР;ул им. Кондратенко Н.И., 12;;ЮЖНОЕ ГУ БАНКА РОССИИ;ЮЖНОЕ ГУ БАНКА РОССИИ;040349001;;;00;;;;;;30.06.2018;;;;;;
;;30;4;03;350000;1;КРАСНОДАР;ул Красноармейская, 34;040349001;КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК;КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619;040349602;;;00;;;;1481/638;;30.06.2018;;30101810100000000602;;;;
;;20;4;45;109004;1;МОСКВА;ул. Станиславского, д.4, стр.;044525000;"АО ""БАЙКАЛИНВЕСТБАНК""";"АО ""БАЙКАЛИНВЕСТБАНК""";044525285;;;00;;;;1067;;21.06.2019;;30101810245250000285;;;;
;;20;4;03;350075;1;КРАСНОДАР;ул им. Стасова, 176;040349001;"АО ""КУБАНЬТОРГБАНК""";"АО ""КУБАНЬТОРГБАНК""";040349718;;;00;;;;478;;30.06.2018;;30101810900000000718;;;;
;;20;4;03;350000;1;КРАСНОДАР;ул Орджоникидзе, 46;040349001;"КБ ""КУБАНЬ КРЕДИТ"" ООО";"КБ ""КУБАНЬ КРЕДИТ"" ООО";040349722;;;00;;;;2518;;30.06.2018;;30101810200000000722;;;;
;;30;4;03;350033;1;КРАСНОДАР;ул Дмитриевская Дамба, 11;040349001;"Ф-Л БАНКА ГПБ (АО) ""ЮЖНЫЙ""";"Ф-Л БАНКА ГПБ (АО) ""ЮЖНЫЙ""";040349781;;;00;;;;354/2;;30.06.2018;;30101810500000000781;;;;
;;30;4;36;443045;1;САМАРА;ул Авроры, 150;043601001;"ФИЛИАЛ ""САМАРСКИЙ"" АО ""ОТП БАНК""";"ФИЛИАЛ ""САМАРСКИЙ"" АО ""ОТП БАН";043601707;;;00;;;;2766/6;;30.06.2018;;30101810722023601707;;;;
;;20;4;35;295011;1;СИМФЕРОПОЛЬ;ул Севастопольская, 13;043510001;"АО ""ГЕНБАНК""";"АО ""ГЕНБАНК""";043510123;;;00;;;;2490;;30.06.2018;;30101810835100000123;;;;
;;20;4;64;693004;1;ЮЖНО-САХАЛИНСК;улица Ленина, дом 304Г;046401001;"АО РНКО ""ХОЛМСК""";"АО РНКО ""ХОЛМСК""";046401989;;;00;;;;503-К;;17.12.2018;;30103810864010000989;;;;
;;30;4;40;191123;1;САНКТ-ПЕТЕРБУРГ;ул. Чайковского, д. 39, лит А;044030001;"СПБ. Ф. АО БАНК ""НАЦИОНАЛЬНЫЙ СТАНДАРТ""";"СПБ. Ф. АО БАНК ""НАЦИОНАЛЬНЫЙ";044030830;;;00;;;;3421/3;;30.06.2018;;30101810340300000830;;;;
;;30;4;45;127055;1;МОСКВА;ул Палиха, 10, стр 5;044525000;Ф РОКЕТБАНК КИВИ БАНК (АО);Ф РОКЕТБАНК КИВИ БАНК (АО);044525420;;;00;;;;2241/6;;30.06.2018;;30101810945250000420;;;;
;;20;4;92;423807;1;НАБЕРЕЖНЫЕ ЧЕЛНЫ;ул. Гидростроителей, д.21;049205001;"ООО ""КАМКОМБАНК""";"ООО ""КАМКОМБАНК""";049205525;;;00;;;;438;;27.06.2019;;30101810522029205525;;;;
;;20;4;92;420012;1;КАЗАНЬ;ул. Некрасова, д.38;049205001;"ООО ""БАНК 131""";"ООО ""БАНК 131""";049205131;;;00;;;;3538;;29.03.2019;;30101810822029205131;;;;
;;30;4;50;630099;1;НОВОСИБИРСК;ул. Ядринцевская, д. 16а;045004001;"ФИЛИАЛ ""НОВОСИБИРСКИЙ"" АКБ ""НООСФЕРА"" (АО)";"ФИЛИАЛ ""НОВОСИБИРСКИЙ"" АКБ ""НО";045004750;;;00;;;;2650/4;;01.07.2019;;30101810850045004750;;;;
;;20;4;92;420126;1;КАЗАНЬ;ул.Фатыха Амирхана, д.21;049205001;"АО РНКО ""НАРАТ""";"АО РНКО ""НАРАТ""";049205885;;;00;;;;1902-К;;21.02.2019;;30103810422029205885;;;;
;;30;4;65;620026;1;ЕКАТЕРИНБУРГ;ул.Красноармейская, д.41;046577001;"ФИЛИАЛ ""УРАЛЬСКИЙ"" АО КБ ""СОЛИДАРНОСТЬ""";"ФИЛИАЛ ""УРАЛЬСКИЙ"" АО КБ ""СОЛИ";046577517;;;00;;;;554/12;;18.12.2018;;30101810065770000517;;;;
;;40;0;03;350005;1;КРАСНОДАР-5;ул Кореновская, 47;;ПУ БАНКА РОССИИ СЕВЕРНОЕ;ПУ БАНКА РОССИИ СЕВЕРНОЕ;040394002;;;00;;;;;;30.06.2018;;;;;;
;;10;0;03;353900;1;НОВОРОССИЙСК;ул Советов, 47;;РКЦ НОВОРОССИЙСК;РКЦ НОВОРОССИЙСК;040395000;;;00;;;;;;30.06.2018;;;;;;
;;30;4;03;353900;1;НОВОРОССИЙСК;ул Энгельса, 32;040395000;"НОВОРОССИЙСКИЙ Ф БАНКА""ВОЗРОЖДЕНИЕ""(ПАО)";"НОВОРОССИЙСКИЙ Ф БАНКА""ВОЗРОЖД";040395833;;;00;;;;1439/41;;30.06.2018;;30101810400000000833;;;;
;;10;0;03;354000;1;СОЧИ;ул Орджоникидзе, 2;;РКЦ СОЧИ;РКЦ СОЧИ;040396000;;;00;;;;;;30.06.2018;;;;;;
;;30;4;71;625048;1;ТЮМЕНЬ;ул. 50 лет Октября, 29/1;047102001;"ФИЛИАЛ ""ТЮМЕНСКИЙ"" ПАО ""ПЛЮС БАНК""";"ФИЛИАЛ ""ТЮМЕНСКИЙ"" ПАО ""ПЛЮС Б";047102827;;;00;;;;1189/3;;21.08.2019;;30101810265777100827;;;;
;;20;4;03;354000;1;СОЧИ;ул Навагинская, 14;040396000;АО БАНК ЗЕНИТ СОЧИ;АО БАНК ЗЕНИТ СОЧИ;040396717;;;00;;;;232;;30.06.2018;;30101810400000000717;;;;
;;20;4;45;107140;1;МОСКВА;ул Н. Красносельская, 5, стр 5;044525000;"АО КБ ""ФОРБАНК""";"АО КБ ""ФОРБАНК""";044525074;;;00;;;;2063;;30.06.2018;;30101810045250000074;;;;
;;40;0;03;353912;1;НОВОРОССИЙСК 12;ул Тобольского, 3;;ПУ БАНКА РОССИИ ЦЕМЕССКОЕ;ПУ БАНКА РОССИИ ЦЕМЕССКОЕ;040397002;;;00;;;;;;30.06.2018;;;;;;
;;20;4;45;115184;1;МОСКВА;Малый Татарский пер., д. 3;044525000;"АО ""НАРОДНЫЙ БАНК""";"АО ""НАРОДНЫЙ БАНК""";044525380;;;00;;;;2249;;26.08.2019;;30101810645250000380;;;;
;;12;0;04;660049;1;КРАСНОЯРСК;ул Дубровинского, 70;;ОТДЕЛЕНИЕ КРАСНОЯРСК;ОТДЕЛЕНИЕ КРАСНОЯРСК;040407001;;;00;;;;;;30.06.2018;;;;;;
;;30;4;04;660049;1;КРАСНОЯРСК;ул Ленина, 46;040407001;ФИЛИАЛ БАНКА ВТБ (ПАО) В Г.КРАСНОЯРСКЕ;ФИЛИАЛ БАНКА ВТБ (ПАО) В Г.КРА;040407777;;;00;;;;1000/3;;30.06.2018;;30101810200000000777;;;;
;;30;4;04;660028;1;КРАСНОЯРСК;Свободный пр-т, 46;040407001;КРАСНОЯРСКОЕ ОТДЕЛЕНИЕ N 8646 ПАО СБЕРБАНК;КРАСНОЯРСКОЕ ОТДЕЛЕНИЕ N 8646;040407627;;;00;;;;1481/664;;30.06.2018;;30101810800000000627;;;;
;;20;4;45;107023;1;МОСКВА;ул М. Семёновская, 11/2, стр 3;044525000;"КБ ""АЛЬТЕРНАТИВА"" (ООО)";"КБ ""АЛЬТЕРНАТИВА"" (ООО)";044525115;;;00;;;;3452;;30.06.2018;;30101810645250000115;;;;
;;30;4;04;660017;1;КРАСНОЯРСК;ул Дубровинского, 106;040407001;"ФИЛИАЛ ""СДМ-БАНК"" (ПАО) В Г.КРАСНОЯРСКЕ";"ФИЛИАЛ ""СДМ-БАНК"" (ПАО) В Г.КР";040407862;;;00;;;;1637/2;;30.06.2018;;30101810500000000862;;;;
;;30;4;80;450077;1;УФА;ул Мингажева, 40/1;048073001;"ФИЛИАЛ ПАО ""АКИБАНК"" В Г.УФА";"ФИЛИАЛ ПАО ""АКИБАНК"" В Г.УФА";048073936;;;00;;;;2587/6;;30.06.2018;;30101810280730000936;;;;
;;30;4;22;603073;1;НИЖНИЙ НОВГОРОД;пр-т Ленина, 64;042202001;"ПРИВОЛЖСКИЙ ФИЛИАЛ ПАО КБ ""ВОСТОЧНЫЙ""";"ПРИВОЛЖСКИЙ ФИЛИАЛ ПАО КБ ""ВОС";042202714;;;00;;;;1460/14;;30.06.2018;;30101810222020000714;;;;
;;30;4;80;450077;1;УФА;ул Ленина, 31/33;048073001;"ФИЛИАЛ ""БАШКОРТОСТАН"" АО КБ ""СИТИБАНК""";"ФИЛИАЛ ""БАШКОРТОСТАН"" АО КБ ""С";048073949;;;00;;;;2557/7;;30.06.2018;;30101810280730000949;;;;
;;20;4;35;295000;1;СИМФЕРОПОЛЬ;ул Набережная 60-лет СССР, 34;043510001;РНКБ БАНК (ПАО);РНКБ БАНК (ПАО);043510607;;;00;;;;1354;;30.06.2018;;30101810335100000607;;;;
;;30;4;36;443041;1;САМАРА;ул Красноармейская, 75;043601001;САМАРСКИЙ ФИЛИАЛ БАНКА СОЮЗ (АО);САМАРСКИЙ ФИЛИАЛ БАНКА СОЮЗ (А;043601845;;;00;;;;2307/8;;30.06.2018;;30101810422023601845;;;;
;;30;4;71;625000;1;ТЮМЕНЬ;ул. Хохрякова, 47;047102001;"ТЮМЕНСКИЙ ФИЛИАЛ АО КБ ""АГРОПРОМКРЕДИТ""";"ТЮМЕНСКИЙ ФИЛИАЛ АО КБ ""АГРОПР";047102803;;;00;;;;2880/2;;23.09.2019;;30101810865777100803;;;;
;;30;4;25;664007;1;ИРКУТСК;ул. Октябрьской Революции, д.;042520001;"ФИЛИАЛ ""СИБИРСКИЙ"" АО ""БАЙКАЛИНВЕСТБАНК""";"ФИЛИАЛ ""СИБИРСКИЙ"" АО ""БАЙКАЛИ";042520780;;;00;;;;1067/4;;04.03.2019;;30101810750042520780;;;;
;;30;4;25;665835;1;АНГАРСК;29-ый мкр, 15 А;042520001;"АНГАРСКИЙ ФИЛИАЛ АО ""ИТ БАНК""";"АНГАРСКИЙ ФИЛИАЛ АО ""ИТ БАНК""";042520767;;;00;;;;2609/1;;30.06.2018;;30101810350040000767;;;;
;;20;4;40;191024;1;САНКТ-ПЕТЕРБУРГ;ул. 2-я Советская, дом 27/2, л;044030001;"ООО НКО ""МОБИЛЬНАЯ КАРТА""";"ООО НКО ""МОБИЛЬНАЯ КАРТА""";044030303;;;00;;;;3522-К;;30.06.2018;;30103810040300000303;;;;
;;40;0;27;238151;1;ЧЕРНЯХОВСК;ул Пионерская, 7;;ПУ БАНКА РОССИИ N 55031;ПУ БАНКА РОССИИ N 55031;042785002;;;00;;;;;;30.06.2018;;;;;;
;;30;4;45;108814;1;МОСКВА;п. Сосенское, пос. Газопровод,;044525000;"ЦЕНТРАЛЬНЫЙ ФИЛИАЛ АБ ""РОССИЯ""";"ЦЕНТРАЛЬНЫЙ ФИЛИАЛ АБ ""РОССИЯ""";044525220;;;00;;;;328/15;;30.06.2018;;30101810145250000220;;;;
;;20;4;45;115054;1;МОСКВА;ул. Бахрушина, д. 23, стр. 2;044525000;"АО ""ТИМЕР БАНК""";"АО ""ТИМЕР БАНК""";044525567;;;00;;;;1581;;30.09.2019;;30101810345250000567;;;;
;;20;4;63;410028;1;САРАТОВ;г. Саратов, ул. Рабочая, 27;046311001;"АО РНКО ""СИНЕРГИЯ""";"АО РНКО ""СИНЕРГИЯ""";046311926;;;00;;;;2884-К;;24.09.2018;;30103810622026311926;;;;
;;20;4;71;625048;1;ТЮМЕНЬ;ул Максима Горького, 68, к 2/1;047102001;"ООО КБ ""ДРУЖБА""";"ООО КБ ""ДРУЖБА""";047102802;;;00;;;;990;;26.09.2019;;30101810565777100802;;;;
